Cidade Origem, Cidade Destino, Distancia
Faro, Aveiro,366
Faro, Braga,454
Faro, Bragança,487
Faro, Beja,99
Faro, Castelo Branco,280
Faro, Coimbra,319
Faro, Évora,157
Faro, Faro,0
Faro, Guarda,352
Faro, Leiria,278
Faro, Lisboa,195
Faro, Portalegre,228
Faro, Porto,418
Faro, Santarém,231
Faro, Setúbal,168
Faro, Viana do Castelo,473
Faro, Vila Real,429
Faro, Viseu,363
Lisboa, Aveiro,
Lisboa, Braga,
Lisboa, Bragança,
Lisboa, Beja,
Lisboa, Castelo Branco,
Lisboa, Coimbra,
Lisboa, Évora,
Lisboa, Faro,
Lisboa, Guarda,
Lisboa, Leiria,
Lisboa, Lisboa,
Lisboa, Portalegre,
Lisboa, Porto,
Lisboa, Santarém,
Lisboa, Setúbal,
Lisboa, Viana do Castelo,
Lisboa, Vila Real,
Lisboa, Viseu,
Braga, Aveiro,
Braga, Braga,
Braga, Bragança,
Braga, Beja,
Braga, Castelo Branco,
Braga, Coimbra,
Braga, Évora,
Braga, Faro,
Braga, Guarda,
Braga, Leiria,
Braga, Lisboa,
Braga, Portalegre,
Braga, Porto,
Braga, Santarém,
Braga, Setúbal,
Braga, Viana do Castelo,
Braga, Vila Real,
Braga, Viseu,
Bragança, Aveiro,
Bragança, Braga,
Bragança, Bragança,
Bragança, Beja,
Bragança, Castelo Branco,
Bragança, Coimbra,
Bragança, Évora,
Bragança, Faro,
Bragança, Guarda,
Bragança, Leiria,
Bragança, Lisboa,
Bragança, Portalegre,
Bragança, Porto,
Bragança, Santarém,
Bragança, Setúbal,
Bragança, Viana do Castelo,
Bragança, Vila Real,
Bragança, Viseu,
Beja, Aveiro,
Beja, Braga,
Beja, Bragança,
Beja, Beja,
Beja, Castelo Branco,
Beja, Coimbra,
Beja, Évora,
Beja, Faro,
Beja, Guarda,
Beja, Leiria,
Beja, Lisboa,
Beja, Portalegre,
Beja, Porto,
Beja, Santarém,
Beja, Setúbal,
Beja, Viana do Castelo,
Beja, Vila Real,
Beja, Viseu,
Castelo Branco, Aveiro,
Castelo Branco, Braga,
Castelo Branco, Bragança,
Castelo Branco, Beja,
Castelo Branco, Castelo Branco,
Castelo Branco, Coimbra,
Castelo Branco, Évora,
Castelo Branco, Faro,
Castelo Branco, Guarda,
Castelo Branco, Leiria,
Castelo Branco, Lisboa,
Castelo Branco, Portalegre,
Castelo Branco, Porto,
Castelo Branco, Santarém,
Castelo Branco, Setúbal,
Castelo Branco, Viana do Castelo,
Castelo Branco, Vila Real,
Castelo Branco, Viseu,
Aveiro, Aveiro,
Aveiro, Braga,
Aveiro, Bragança,
Aveiro, Beja,
Aveiro, Castelo Branco,
Aveiro, Coimbra,
Aveiro, Évora,
Aveiro, Faro,
Aveiro, Guarda,
Aveiro, Leiria,
Aveiro, Lisboa,
Aveiro, Portalegre,
Aveiro, Porto,
Aveiro, Santarém,
Aveiro, Setúbal,
Aveiro, Viana do Castelo,
Aveiro, Vila Real,
Aveiro, Viseu,
Coimbra, Aveiro,
Coimbra, Braga,
Coimbra, Bragança,
Coimbra, Beja,
Coimbra, Castelo Branco,
Coimbra, Coimbra,
Coimbra, Évora,
Coimbra, Faro,
Coimbra, Guarda,
Coimbra, Leiria,
Coimbra, Lisboa,
Coimbra, Portalegre,
Coimbra, Porto,
Coimbra, Santarém,
Coimbra, Setúbal,
Coimbra, Viana do Castelo,
Coimbra, Vila Real,
Coimbra, Viseu,

Évora, Aveiro,
Évora, Braga,
Évora, Bragança,
Évora, Beja,
Évora, Castelo Branco,
Évora, Coimbra,
Évora, Évora,
Évora, Faro,
Évora, Guarda,
Évora, Leiria,
Évora, Lisboa,
Évora, Portalegre,
Évora, Porto,
Évora, Santarém,
Évora, Setúbal,
Évora, Viana do Castelo,
Évora, Vila Real,
Évora, Viseu,
Guarda, Aveiro,
Guarda, Braga,
Guarda, Bragança,
Guarda, Beja,
Guarda, Castelo Branco,
Guarda, Coimbra,
Guarda, Évora,
Guarda, Faro,
Guarda, Guarda,
Guarda, Leiria,
Guarda, Lisboa,
Guarda, Portalegre,
Guarda, Porto,
Guarda, Santarém,
Guarda, Setúbal,
Guarda, Viana do Castelo,
Guarda, Vila Real,
Guarda, Viseu,
Leiria, Aveiro,
Leiria, Braga,
Leiria, Bragança,
Leiria, Beja,
Leiria, Castelo Branco,
Leiria, Coimbra,
Leiria, Évora,
Leiria, Faro,
Leiria, Guarda,
Leiria, Leiria,
Leiria, Lisboa,
Leiria, Portalegre,
Leiria, Porto,
Leiria, Santarém,
Leiria, Setúbal,
Leiria, Viana do Castelo,
Leiria, Vila Real,
Leiria, Viseu,
Portalegre, Aveiro,
Portalegre, Braga,
Portalegre, Bragança,
Portalegre, Beja,
Portalegre, Castelo Branco,
Portalegre, Coimbra,
Portalegre, Évora,
Portalegre, Faro,
Portalegre, Guarda,
Portalegre, Leiria,
Portalegre, Lisboa,
Portalegre, Portalegre,
Portalegre, Porto,
Portalegre, Santarém,
Portalegre, Setúbal,
Portalegre, Viana do Castelo,
Portalegre, Vila Real,
Portalegre, Viseu,
Porto, Aveiro,
Porto, Braga,
Porto, Bragança,
Porto, Beja,
Porto, Castelo Branco,
Porto, Coimbra,
Porto, Évora,
Porto, Faro,
Porto, Guarda,
Porto, Leiria,
Porto, Lisboa,
Porto, Portalegre,
Porto, Porto,
Porto, Santarém,
Porto, Setúbal,
Porto, Viana do Castelo,
Porto, Vila Real,
Porto, Viseu,
Santarém, Aveiro,
Santarém, Braga,
Santarém, Bragança,
Santarém, Beja,
Santarém, Castelo Branco,
Santarém, Coimbra,
Santarém, Évora,
Santarém, Faro,
Santarém, Guarda,
Santarém, Leiria,
Santarém, Lisboa,
Santarém, Portalegre,
Santarém, Santarém,
Santarém, Porto,
Santarém, Setúbal,
Santarém, Viana do Castelo,
Santarém, Vila Real,
Santarém, Viseu,
Setúbal, Aveiro,
Setúbal, Braga,
Setúbal, Bragança,
Setúbal, Beja,
Setúbal, Castelo Branco,
Setúbal, Coimbra,
Setúbal, Évora,
Setúbal, Faro,
Setúbal, Guarda,
Setúbal, Leiria,
Setúbal, Lisboa,
Setúbal, Portalegre,
Setúbal, Porto,
Setúbal, Santarém,
Setúbal, Setúbal,
Setúbal, Viana do Castelo,
Setúbal, Vila Real,
Setúbal, Viseu,
Viana do Castelo, Aveiro,
Viana do Castelo, Braga,
Viana do Castelo, Bragança,
Viana do Castelo, Beja,
Viana do Castelo, Castelo Branco,
Viana do Castelo, Coimbra,
Viana do Castelo, Évora,
Viana do Castelo, Faro,
Viana do Castelo, Guarda,
Viana do Castelo, Leiria,
Viana do Castelo, Lisboa,
Viana do Castelo, Portalegre,
Viana do Castelo, Porto,
Viana do Castelo, Santarém,
Viana do Castelo, Setúbal,
Viana do Castelo, Viana do Castelo,
Viana do Castelo, Vila Real,
Viana do Castelo, Viseu,
Vila Real, Aveiro,
Vila Real, Braga,
Vila Real, Bragança,
Vila Real, Beja,
Vila Real, Castelo Branco,
Vila Real, Coimbra,
Vila Real, Évora,
Vila Real, Faro,
Vila Real, Guarda,
Vila Real, Leiria,
Vila Real, Lisboa,
Vila Real, Portalegre,
Vila Real, Porto,
Vila Real, Santarém,
Vila Real, Setúbal,
Vila Real, Viana do Castelo,
Vila Real, Vila Real,
Vila Real, Viseu,
Viseu, Aveiro,
Viseu, Braga,
Viseu, Bragança,
Viseu, Beja,
Viseu, Castelo Branco,
Viseu, Coimbra,
Viseu, Évora,
Viseu, Faro,
Viseu, Guarda,
Viseu, Leiria,
Viseu, Lisboa,
Viseu, Portalegre,
Viseu, Porto,
Viseu, Santarém,
Viseu, Setúbal,
Viseu, Viana do Castelo,
Viseu, Vila Real,
Viseu, Viseu,
